,CUI,STR,NAME_SAB,DEF,DEF_SAB,TUI,STY
342,C0071129,Pirbuterol,SNOMEDCT_US,"A short-acting, beta-adrenergic receptor agonist with bronchodilator activity. Pirbuterol selectively binds to beta-2 adrenergic receptors in bronchial smooth muscle, thereby activating intracellular adenyl cyclase, an enzyme that catalyzes the conversion of adenosine triphosphate (ATP) to cyclic-3',5'-adenosine monophosphate (cAMP). Increased cAMP levels cause relaxation of bronchial smooth muscle, relieve bronchospasms, improve mucociliary clearance and inhibit the release of mediators of immediate hypersensitivity from cells, especially from mast cells.",NCI,T109,Organic Chemical
343,C0071304,Isradipine,SNOMEDCT_US,"A dihydropyridine calcium channel blockers with antihypertensive and vasodilator activities. Isradipine blocks the calcium entry through the calcium ion channels of coronary and peripheral vascular smooth muscle, thereby dilating coronary arteries and peripheral arterioles. This increases oxygen delivery due to an increased blood flow and reduces oxygen requirements due to decrease in total peripheral resistance. (NCI05)",NCI,T109,Organic Chemical
344,C0071839,Prednisolone acetate,SNOMEDCT_US,"The acetate salt form of prednisolone, a synthetic glucocorticoid with anti-inflammatory and immunomodulating properties. As a glucocorticoid receptor agonist, prednisolone acetate binds to specific intracellular glucocorticoid receptors, and causes the ligand-receptor complex to be translocated to the nucleus where it initiates the transcription of glucocorticoid-responsive genes such as various cytokines and lipocortins. Lipocortins inhibit phospholipase A2, thereby blocking the release of arachidonic acid from membrane phospholipids and preventing the synthesis of prostaglandins and leukotrienes, both potent mediators of inflammation. This agent also decreases the number of circulating lymphocytes, induces cell differentiation, and stimulates apoptosis in sensitive tumor cell populations.",NCI,T109,Organic Chemical
345,C0071842,prednisolone phosphate,CHV,,,T109,Organic Chemical
346,C0071844,Prednisolone Tebutate,NCI,,,T109,Organic Chemical
347,C0072857,Quinapril,SNOMEDCT_US,"A prodrug and non-sulfhydryl angiotensin converting enzyme (ACE) inhibitor with antihypertensive activity. Quinapril is hydrolized into its active form quinaprilat, which binds to and inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This abolishes the potent vasoconstrictive actions of angiotensin II and leads to vasodilatation. Quinapril also causes a decrease in angiotensin II-induced aldosterone secretion by the adrenal cortex, thereby promoting diuresis and natriuresis, and increases bradykinin levels.",NCI,T109,Organic Chemical
348,C0072858,Quinaprilat,NCI,,,T109,Organic Chemical
349,C0072970,Ramiprilat,NCI,"A non-sulfhydryl angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. Ramiprilat inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This prevents the potent vasoconstrictive actions of angiotensin II and leads to vasodilation. This agent also causes an increase in bradykinin levels and a decrease in angiotensin II-induced aldosterone secretion by the adrenal cortex, thereby promoting diuresis and natriuresis.",NCI,T109,Organic Chemical
350,C0072973,Ramipril,SNOMEDCT_US,"A prodrug and nonsulfhydryl angiotensin converting enzyme (ACE) inhibitor with antihypertensive activity. Ramipril is converted in the liver by de-esterification into its active form ramiprilat, which inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This abolishes the potent vasoconstrictive actions of angiotensin II and leads to vasodilatation. This agent also causes an increase in bradykinin levels and a decrease in angiotensin II-induced aldosterone secretion by the adrenal cortex, thereby promoting diuresis and natriuresis.",NCI,T109,Organic Chemical
351,C0073992,Salmeterol,SNOMEDCT_US,"A highly selective, long-acting beta-2 adrenergic agonist with bronchodilatory activity. Salmeterol's benzene moiety resembles the structure of catecholamines, and occupies the active site of beta-2 adrenergic receptor, while the long, lipophilic side chain of salmeterol, binds to the so called 'exosite' near the beta-2 adrenergic receptors. The binding at the exosite allows the active portion of the molecule to remain at the receptor site and continually engage and disengage with the receptor, therefore providing a long duration of action. This agent stimulates intracellular adenyl cyclase to catalyze the conversion of adenosine triphosphate to cyclic-3',5'-adenosine monophosphate (cAMP). Increased cAMP levels result in relaxation of bronchiolar smooth muscle, bronchodilation and increased bronchial airflow.",NCI,T109,Organic Chemical
352,C0074493,Sibutramine,SNOMEDCT_US,,,T109,Organic Chemical
353,C0074814,Ibuprofen lysine,SNOMEDCT_US,,,T109,Organic Chemical
354,C0075007,Spirapril,SNOMEDCT_US,"A prodrug and non-sulfhydryl angiotensin converting enzyme (ACE) inhibitor with antihypertensive activity. Spirapril is converted in the body to its active metabolite spiraprilat. Spiraprilat competitively binds to and inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This prevents the potent vasoconstrictive actions of angiotensin II and results in vasodilation. Spiraprilat also decreases angiotensin II-induced aldosterone secretion by the adrenal cortex, which leads to an increase in sodium excretion and subsequently increases water outflow.",NCI,T109,Organic Chemical
355,C0075061,Fosinoprilat,NCI,"A phosphinic acid-containing angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. Fosinoprilat specifically and competitively inhibits angiotensin-converting enzyme thereby decreasing the formation of the potent vasoconstrictor angiotensin II, resulting in diminished vasopressor activity. In addition, angiotensin II-mediated aldosterone secretion by adrenal cortex is decreased, which results in a decrease of sodium retention and an increase in water outflow.",NCI,T116,"Amino Acid, Peptide, or Protein"
356,C0076107,Terazosin,SNOMEDCT_US,,,T109,Organic Chemical
357,C0076166,Tertatolol,SNOMEDCT_US,,,T109,Organic Chemical
358,C0076840,Torsemide,SNOMEDCT_US,"An anilinopyridine sulfonylurea belonging to the class of loop diuretics. Torsemide has a prolonged duration of action compared to other loop diuretics, is extensively protein bound in plasma and has a relatively long half-life.",NCI,T109,Organic Chemical
359,C0076891,Trandolapril,SNOMEDCT_US,"A non-sulfhydryl angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. As a prodrug, trandolapril is converted by de-esterification in the liver into its active form trandolaprilat. Trandolaprilat competitively binds to and inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This prevents the potent vasoconstrictive actions of angiotensin II and results in vasodilation. Trandolaprilat also decreases angiotensin II-induced aldosterone secretion by the adrenal cortex, which leads to an increase in sodium excretion and subsequently increases water outflow.",NCI,T109,Organic Chemical
360,C0077004,Triamcinolone hexacetonide,SNOMEDCT_US,"The hexacetonide salt form of triamcinolone, a synthetic glucocorticosteroid with immunosuppressive and anti-inflammatory activity. Triamcinolone hexacetonide binds to specific cytosolic glucocorticoid receptors and subsequently interacts with glucocorticoid receptor response element on DNA and alters gene expression. This results in an induction of the synthesis of certain anti-inflammatory proteins while inhibiting the synthesis of certain inflammatory mediators. Consequently, an overall reduction in chronic inflammation and autoimmune reactions are accomplished.",NCI,T109,Organic Chemical
361,C0077770,Doxazosin mesylate,SNOMEDCT_US,"The mesylate salt form of doxazosin, a quinazoline compound with smooth muscle relaxing activity. Doxazosin mesylate selectively antagonizes alpha-1-adrenergic receptors in smooth muscle of the bladder neck and prostate, thereby relaxing the smooth muscle and decreasing the obstruction and urethral resistance seen with benign prostate hyperplasia (BPH). This may improve BPH symptoms. This agent also blocks alpha-1-adrenergic receptors in peripheral vascular smooth muscle, which leads to vasodilatation and a subsequent decrease in peripheral vascular resistance.",NCI,T109,Organic Chemical
362,C0078703,mepirodipine,MSH,,,T109,Organic Chemical
363,C0078836,Zofenopril,SNOMEDCT_US,"A sulfhydryl angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. As a prodrug, zofenopril is hydrolyzed in vivo into its active form zofenoprilat. Zofenoprilat competitively binds to and inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This prevents the potent vasoconstrictive actions of angiotensin II and results in vasodilation. Zofenoprilat also decreases angiotensin II-induced aldosterone secretion by the adrenal cortex, which leads to an increase in sodium excretion and subsequently increases water outflow.",NCI,T109,Organic Chemical
364,C0078956,Anistreplase,SNOMEDCT_US,"An acylated inactive complex of streptokinase and human lysine-plasminogen. After injection, the acyl group is slowly hydrolyzed, producing an activator that converts plasminogen to plasmin, thereby initiating fibrinolysis. Its half-life is about 90 minutes compared to 5 minutes for TPA; (TISSUE PLASMINOGEN ACTIVATOR); 16 minutes for UROKINASE-TYPE PLASMINOGEN ACTIVATOR and 23 minutes for STREPTOKINASE. If treatment is initiated within 3 hours of onset of symptoms for acute myocardial infarction, the drug preserves myocardial tissue and left ventricular function and increases coronary artery patency. Bleeding complications are similar to other thrombolytic agents.",MSH,T116,"Amino Acid, Peptide, or Protein"
365,C0079226,Dextrothyroxine sodium,SNOMEDCT_US,,,T116,"Amino Acid, Peptide, or Protein"
366,C0079466,Guanfacine,SNOMEDCT_US,"A centrally acting adrenergic agonist with non-stimulant and antihypertensive property. Guanfacine selectively stimulates alpha-2 adrenergic receptors in the central nervous system, thereby resulting in inhibition of sympathetic nervous system outflow. Used alone or in combination with other drugs, this agent causes reduction of peripheral and renal vascular resistance, and lowers both systolic and diastolic blood pressure and heart rate.",NCI,T109,Organic Chemical
367,C0079646,Transplantation of islets of Langerhans,SNOMEDCT_US,"Islets are cells found in clusters throughout the pancreas. They are made up of several types of cells. One of these is beta cells, which make insulin. Insulin is a hormone that helps the body use glucose for energy. Islet cell transplantation transfers cells from an organ donor into the body of another person. It is an experimental treatment for type 1 diabetes. In type 1 diabetes, the beta cells of the pancreas no longer make insulin. A person who has type 1 diabetes must take insulin daily to live. Transplanted islet cells, however, can take over the work of the destroyed cells. The beta cells in these islets will begin to make and release insulin. Researchers hope islet transplantation will help people with type 1 diabetes live without daily insulin injections. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",MEDLINEPLUS,T061,Therapeutic or Preventive Procedure
368,C0081408,Zileuton,SNOMEDCT_US,"A synthetic derivative of hydroxyurea with antiasthmatic properties. The leukotriene inhibitor zileuton blocks 5-lipoxygenase, which catalyzes the formation of leukotrienes from arachidonic acid; causes bronchodilation; decreases bronchial mucous secretion and edema; and may prevent or decrease the symptoms of asthma. (NCI04)",NCI,T109,Organic Chemical
369,C0081729,Beclomethasone 17-Monopropionate,NCI,,,T109,Organic Chemical
370,C0082607,Fluticasone,SNOMEDCT_US,"A synthetic trifluorinated glucocorticoid receptor agonist with antiallergic, antiinflammatory and antipruritic effects. Fluticasone binds and activates glucocorticoid receptor, resulting in the activation of lipocortin. Lipocortin, in turn, inhibits cytosolic phospholipase A2, which triggers a cascade of reactions involved in the synthesis of inflammatory mediators, such as prostaglandins and leukotrienes. Secondly, mitogen-activated protein kinase (MAPK) phosphatase 1 is induced, thereby leads to dephosphorylation and inactivation of Jun N-terminal kinase directly inhibiting c-Jun mediated transcription. Finally, transcriptional activity of nuclear factor (NF)-kappa-B is blocked, thereby inhibits the transcription of cyclooxygenase 2, which is essential for prostaglandin production.",NCI,T109,Organic Chemical
371,C0085129,bronchial hyperreactivity,CHV,Tendency of the smooth muscle of the tracheobronchial tree to contract more intensely in response to a given stimulus than it does in the response seen in normal individuals. This condition is present in virtually all symptomatic patients with asthma. The most prominent manifestation of this smooth muscle contraction is a decrease in airway caliber that can be readily measured in the pulmonary function laboratory.,MSH,T047,Disease or Syndrome
372,C0085207,Gestational Diabetes,NCI,"What is diabetes?  If you have diabetes, your blood glucose, or blood sugar, levels are too high. Glucose comes from the foods you eat. A hormone called insulin helps the glucose get into your cells to give them energy. With type 1 diabetes, your body does not make insulin. With type 2 diabetes, your body does not make or use insulin well. Without enough insulin, the glucose stays in your blood. What is gestational diabetes? Some people already have diabetes before they get pregnant. But others may develop diabetes during pregnancy. This type of diabetes is called gestational diabetes. It usually develops around the 24th week of pregnancy. It happens when your body can't make the extra insulin it needs during pregnancy. Researchers think gestational diabetes is caused by the hormonal changes of pregnancy, along with genetic and lifestyle factors. Who is more likely to develop gestational diabetes? Anyone who is pregnant could develop gestational diabetes. But you are more likely to develop it if you:  Are overweight or have obesity Have a family history of diabetes Had gestational diabetes in a previous pregnancy Have given birth to a baby weighing 9 pounds or more Have polycystic ovary syndrome (PCOS) Are African American, Hispanic/Latino, American Indian, Alaska Native, Native Hawaiian, or Pacific Islander person  How do I know if I have gestational diabetes? Gestational diabetes often has no symptoms. If you do have symptoms, they may be mild, such as being thirstier than normal or having to urinate (pee) more often. If you are pregnant, you will most likely be screened for gestational diabetes between 24 and 28 weeks of pregnancy. But if you have an increased chance of developing gestational diabetes, you may be tested during your first prenatal visit. Your health care provider will use one or more blood glucose tests to check for gestational diabetes. You may have the glucose challenge test, the oral glucose tolerance test (OGTT), or both. For these two tests, you will drink a sugary liquid and wait for an hour before your blood sample is taken. If you have an oral glucose tolerance test, you will also get your blood drawn after 2 and 3 hours. How can diabetes affect my pregnancy? Having diabetes during pregnancy can affect your health. For example:  You are more likely to develop preeclampsia, a serious medical condition that causes a sudden increase in your blood pressure. You are more likely to need a cesarean delivery, because your baby is more likely to be bigger than average. Changes to your hormones and your body during pregnancy can affect your blood glucose levels. If you had diabetes before pregnancy, you may now need to adjust your meal plan, physical activity routine, and/or medicines. If you have any diabetes health problems, they may get worse during pregnancy. Gestational diabetes usually goes away after you have your baby. But you will be at higher risk of developing type 2 diabetes later.  Having diabetes during pregnancy can also affect the health of your developing baby:  If you have high blood glucose levels at the beginning of your pregnancy, there is a higher risk of birth defects. Your baby will be at risk for obesity and type 2 diabetes later in life. Your baby is more likely to be born early. Your baby may have breathing problems or hypoglycemia (low blood glucose levels) right after birth. There is a higher risk of miscarriage and stillbirth.  How can I manage diabetes during pregnancy? There are steps you can take to manage your diabetes before, during, and after pregnancy. If you already have diabetes, the best time to control your blood glucose is before you get pregnant. High blood glucose levels can be harmful to your developing baby during the first weeks of pregnancy, even before you know you are pregnant. See your provider to help you plan for pregnancy. You can talk about how to lower the risk of health problems for you and your developing baby. You can also discuss your diet, physical activity, and which diabetes medicines are safe during pregnancy. During your pregnancy, you will work with your provider to manage your blood glucose levels. You may be able to manage them with a healthy diet and regular physical activity. If that's not enough, then you will need to take diabetes medicines. It's also important that you:  Get regular prenatal checkups Take your prenatal vitamins Don't use harmful substances such as alcohol, tobacco, and illegal drugs  After pregnancy, there are steps you need to take to stay healthy:  If you had gestational diabetes, you are at risk of developing type 2 diabetes. You will be tested for it within 4 to 12 weeks after giving birth. Even if your blood glucose levels have returned to normal, you will need to get them tested every 1 to 3 years. If you already had diabetes before pregnancy, you and your provider will monitor changes to your blood glucose levels. They will tell you if you need to adjust your diabetes management plan.  NIH: National Institute of Diabetes and Digestive and Kidney Diseases",MEDLINEPLUS,T047,Disease or Syndrome
373,C0085292,Stiff-person syndrome,SNOMEDCT_US,A rare neurologic disorder characterized by muscle rigidity. It usually affects the axial muscles and eventually extends to the proximal limb muscles. It is associated with muscle spasms which may lead to muscle damage and fractures.,NCI,T047,Disease or Syndrome
374,C0085420,indoor air pollution,CHV,"We usually think of air pollution as being outdoors, but the air in your house or office could also be polluted. Sources of indoor pollution include: Mold and pollen Tobacco smoke Household products and pesticides Gases such as radon and carbon monoxide   Materials used in the building such as asbestos, formaldehyde and lead   Sometimes a group of people have symptoms that seem to be linked to time spent in a certain building. There may be a specific cause, such as Legionnaire's disease. Sometimes the cause of the illness cannot be found. This is known as sick building syndrome. Usually indoor air quality problems only cause discomfort. Most people feel better as soon as they remove the source of the pollution. However, some pollutants can cause diseases that show up much later, such as respiratory diseases or cancer. Making sure that your building is well-ventilated and getting rid of pollutants can improve the quality of your indoor air. Environmental Protection Agency",MEDLINEPLUS,T069,Environmental Effect of Humans
375,C0085548,autosomal recessive polycystic kidney disease,MEDCIN,Polycystic kidney disease inherited in an autosomal recessive pattern. Patients present with progressive renal failure early in life. The autosomal recessive trait is associated with abnormalities of chromosome 6.,NCI,T047,Disease or Syndrome
376,C0085580,Essential hypertension,SNOMEDCT_US,Hypertension that presents without an identifiable cause.,NCI,T047,Disease or Syndrome
377,C0085602,Polydipsia,WHO,"Chronic excessive intake of water; it may be from an organic cause, such as the dehydration of diabetes mellitus, diabetes insipidus, or a reaction to medication, or from a psychological cause. When untreated it can lead to water intoxication.",NCI,T184,Sign or Symptom
378,C0085859,Polyglandular autoimmune syndrome type I,MDR,"Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED) is an inherited condition that affects many of the body's organs. It is one of many autoimmune diseases, which are disorders that occur when the immune system malfunctions and attacks the body's own tissues and organs by mistake.~In most cases, the signs and symptoms of APECED begin in childhood or adolescence. This condition commonly involves three characteristic features: chronic mucocutaneous candidiasis (CMC), hypoparathyroidism, and adrenal gland insufficiency. Affected individuals typically have at least two of these features, and many have all three.~CMC is a tendency to develop infections of the skin, the nails, and the moist lining of body cavities (mucous membranes) caused by a type of fungus called Candida. These infections, which are commonly known as yeast infections, are chronic, which means they recur and can last a long time. CMC is usually the first of the three characteristic features of APECED to become apparent in people with this disorder. Almost all affected individuals develop infections of the oral cavity (known as thrush). Infections of the tube that carries food from the mouth to the stomach (the esophagus) are also common, while the skin and nails are affected less often. In women, vaginal infections frequently occur.~Other features of APECED result from the body's immune system attacking the network of hormone-producing glands (the endocrine system). The second characteristic feature of the disorder is hypoparathyroidism, which is a malfunction of the parathyroid glands. These glands secrete a hormone that regulates the body's use of calcium and phosphorus. Damage to the parathyroid glands leads to reduced parathyroid hormone production (hypoparathyroidism). Hypoparathyroidism can cause a tingling sensation in the lips, fingers, and toes; muscle pain and cramping; weakness; and fatigue. Serious effects of hypoparathyroidism, such spasms of the voicebox (larynx) leading to breathing problems and seizures, can be life-threatening.~Damage to the small hormone-producing glands on top of each kidney (adrenal glands) results in a third major feature of APECED, adrenal gland insufficiency (autoimmune Addison disease). Reduced hormone production by the adrenal glands leads to signs and symptoms that can include fatigue, muscle weakness, loss of appetite, weight loss, low blood pressure, and changes in skin coloring. Other endocrine problems that can occur in APECED include type 1 diabetes resulting from impaired production of the hormone insulin; a shortage of growth hormone leading to short stature; problems affecting the internal reproductive organs (ovaries or testes) that can cause inability to conceive children (infertility); and dysfunction of the thyroid gland (a butterfly-shaped tissue in the lower neck), which can result in many symptoms including weight gain and fatigue.~Autoimmune problems affecting non-endocrine tissues can lead to a variety of additional signs and symptoms in people with APECED. These features occur more often in North American populations than in European populations. Rashes that resemble hives (urticarial eruptions) are common and often occur in infancy and early childhood. Other early signs and symptoms may include thin enamel on the teeth (enamel hypoplasia) and chronic diarrhea or constipation associated with difficulty in absorbing nutrients from food. Additional features that occur in people with APECED, many of which can lead to permanent organ and tissue damage if left untreated, include stomach irritation (gastritis), liver inflammation (hepatitis), lung irritation (pneumonitis), dry mouth and dry eyes (Sjogren-like syndrome), inflammation of the eyes (keratitis), kidney problems (nephritis), vitamin B12 deficiency, hair loss (alopecia), loss of skin color in blotches (vitiligo), high blood pressure (hypertension), or a small (atrophic) or absent spleen (asplenia).",MEDLINEPLUS,T047,Disease or Syndrome
379,C0086073,Cromolyn,SNOMEDCT_US,"A synthetic mast cell stabilizer with anti-inflammatory activity. Cromolyn probably interferes with the antigen-mediated calcium ion influx into mast cells. This prevents mast cell degranulation, resulting in mast cell stabilization and inhibition of the release of inflammatory mediators, such as histamine and leukotrienes, which are involved in type I allergic reactions. Cromolyn also prevents inflammatory mediator release from eosinophils.",NCI,T109,Organic Chemical
380,C0086248,Ergotamine tartrate,SNOMEDCT_US,"The tartrate salt form of ergotamine, an ergot alkaloid and adrenergic alpha agonist with vasoconstrictor activity. Ergotamine tartrate selectively binds to alpha-adrenergic receptors thereby stimulating vascular smooth muscle and causing vasoconstriction in both arteries and veins. Ergotamine tartrate also blocks serotonin 5-HT1D receptors, thereby also causing vasoconstriction in cerebral blood vessels. Constriction of cerebral blood vessels caused by this agent may reduce the blood flow and pressure in cerebral arteries and may relieve the pain of vascular headaches.",NCI,T109,Organic Chemical
381,C0087093,Timolol maleate,SNOMEDCT_US,"The maleate salt form of timolol, a propanolamine derivative and a non-selective beta-adrenergic antagonist with antihypertensive property. Timolol competitively binds to beta-1-adrenergic receptors in the heart and vascular smooth muscle and beta-2-receptors in the bronchial and vascular smooth muscle, resulting in a decrease in beta-adrenergic stimulation. Beta-1-receptor blockade results in a decrease in resting and exercise heart rate and cardiac output, a decrease in both systolic and diastolic blood pressure, and, possibly, a reduction in reflex orthostatic hypotension. Beta-2-blockade results in an increase in peripheral vascular resistance. The ultimate results include vasodilation, and negative chronotropic and inotropic effects. In addition, timolol reduces intra-ocular pressure possibly by decreasing aqueous humor production by reduction of blood flow to the ciliary processes and cAMP synthesis.",NCI,T109,Organic Chemical
382,C0093437,Cevimeline,SNOMEDCT_US,"A cholinergic analogue with glandular secretion stimulatory activity. Cevimeline binds to and activates muscarinic receptors, thereby increasing the secretions in exocrine salivary and sweat glands. This cholinergic agonist also increases the tone of smooth muscle in the gastrointestinal and urinary tracts. Cevimeline is being studied as a treatment for dry mouth caused by radiation therapy to the head and neck.",NCI,T109,Organic Chemical
383,C0103116,Amosulalol,NCI,,,T109,Organic Chemical
384,C0105523,Benazeprilat,NCI,"The active metabolite of benazepril, a carboxyl-containing angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. Once the prodrug benazepril is metabolized to benazeprilat in the liver, benazeprilat competitively binds to and inhibits ACE, thereby blocking the conversion of angiotensin I to angiotensin II. This prevents the potent vasoconstrictive actions of angiotensin II, resulting in vasodilation. Benazeprilat also decreases angiotensin II-induced aldosterone secretion by the adrenal cortex, which leads to an increase in sodium excretion and subsequently increases water outflow.",NCI,T109,Organic Chemical
385,C0106169,Bethanechol chloride,SNOMEDCT_US,"A synthetic quaternary ammonium base derivative, parasympathomimetic Bethanechol is a slowly hydrolyzed muscarinic agonist with no nicotinic effects. Generally used to increase smooth muscle tone, Bethanechol is used to treat reflux esophagitis and to initiate urination after surgery, in urinary infections, or for enlarged prostate. It may cause hypotension, cardiac rate changes, and bronchial spasms. (NCI04)",NCI,T109,Organic Chemical
386,C0106575,Bitolterol mesylate,SNOMEDCT_US,"The mesylate salt of bitolterol, a diester sympathomimetic amine with bronchodilator activity. As an ester prodrug, bitolterol is hydrolyzed by esterases to its active metabolite colterol (N-t-butylarterenol). Colterol selectively binds to and activates beta-2 adrenergic receptors in bronchiolar smooth muscle, thereby causing stimulation of adenyl cyclase, the enzyme that catalyzes the conversion of adenosine triphosphate (ATP) to cyclic-3',5'-adenosine monophosphate (cAMP). Increased intracellular cAMP levels cause relaxation of bronchial smooth muscle. This increases air flow and prevents bronchospasms and may eventually lead to an improvement of airway function.",NCI,T109,Organic Chemical
387,C0107994,Cabergoline,SNOMEDCT_US,"A synthetic ergoline derivative and a long-acting dopamine receptor agonist with high affinity for the dopamine D2 receptor. Cabergoline exerts an inhibitory effect on prolactin secretion by acting on dopamine receptors present in pituitary lactotrophs. This drug also binds to dopamine D2 receptors in the corpus striatum, thereby mimicking the actions of dopamine on motor control. Cabergoline also possesses antioxidant and neuroprotective properties due to its free radical scavenging activity. Cabergoline is used in the treatment of Parkinson's disease and in the treatment of hyperprolactinemia.",NCI,T109,Organic Chemical
388,C0113286,Dexamethasone sodium phosphate,SNOMEDCT_US,"A sodium phosphate salt form of Dexamethasone, a synthetic adrenal corticosteroid with potent anti-inflammatory properties. In addition to binding to specific nuclear steroid receptors, dexamethasone also interferes with NF-kB activation and apoptotic pathways. This agent lacks the salt-retaining properties of other related adrenal hormones. (NCI04)",NCI,T109,Organic Chemical
389,C0114873,Doxazosin,SNOMEDCT_US,"A quinazoline with antihypertensive and antineoplastic properties. Doxazosin is an alpha-adrenergic antagonist that selectively inhibits alpha-1 adrenergic receptors. Blockages of the alpha-1 adrenergic action on the vascular smooth muscles lead to a decrease in vascular resistance and antihypertensive activity. This agent also shows high affinity to alpha-1c adrenoceptor, the predominant functional type in the prostate, which may partially attribute to its effect in treatment of benign prostatic hyperplasia. Furthermore, doxazosin induces apoptosis in prostate cancer cells mediated through inhibition of protein kinase B (PKB)/Akt-signaling death receptor regulatory pathway.",NCI,T109,Organic Chemical
390,C0116569,Esmolol,SNOMEDCT_US,"The hydrochloride salt form of esmolol, a short, rapid-acting, selective beta-adrenergic receptor blocker, devoid of intrinsic sympathomimetic activity, and with anti-arrhythmic, antihypertensive and potential analgesic activities. Upon intravenous administration, esmolol binds to and blocks the beta-1 receptor in the myocardium thereby preventing the action of epinephrine and norepinephrine. This leads to a reduction in the force and rate of cardiac contractions and thereby preventing tachycardia, arrythmias and/or hypertension. At higher doses, esmolol also blocks beta-2 receptors located in bronchial and vascular smooth muscle, thereby leading to smooth muscle relaxation. In addition, esmolol exerts a peripheral analgesic effect and intraoperative use of this agent may decrease the amount of opioid administration postoperatively. As the ester moiety in esmolol is rapidly hydrolyzed byplasma esterases, this agent has a very short half-life. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C72617"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C72617"" NCI Thesaurus)",PDQ,T109,Organic Chemical
391,C0117996,Fluticasone propionate,SNOMEDCT_US,"The propionate salt form of fluticasone, a synthetic trifluorinated glucocorticoid receptor agonist with antiallergic, antiinflammatory and antipruritic effects. Binding and activation of the glucocorticoid receptor results in the activation of lipocortin that in turn inhibits cytosolic phospholipase A2, which triggers cascade of reactions involved in synthesis of inflammatory mediators, such as prostaglandins and leukotrienes. Secondly, mitogen-activated protein kinase (MAPK) phosphatase 1 is induced, thereby leads to dephosphorylation and inactivation of Jun N-terminal kinase directly inhibiting c-Jun mediated transcription. Finally, transcriptional activity of nuclear factor (NF)-kappa-B is blocked, thereby inhibits the transcription of cyclooxygenase 2, which is essential for prostaglandin production.",NCI,T109,Organic Chemical
392,C0118168,Fosinopril,SNOMEDCT_US,"A phosphinic acid-containing angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. As an ester prodrug, fosinopril is hydrolysed by esterases to its active metabolite fosinoprilat. Fosinoprilat specifically and competitively inhibits angiotensin-converting enzyme thereby decreasing the formation of the potent vasoconstrictor angiotensin II, resulting in diminished vasopressor activity. In addition, angiotensin II-mediated aldosterone secretion by adrenal cortex is decreased, which results in a decrease of sodium retention and an increase in water outflow.",NCI,T109,Organic Chemical
393,C0123677,human insulin aspart,MEDCIN,"A recombinant human insulin analog with rapid-acting, blood glucose-lowering activity. Insulin aspart, acting faster than regular human insulin, regulates glucose metabolism by binding to insulin receptors on muscle and fat cells, thereby facilitating the cellular uptake of glucose. This lowers blood glucose levels. At the same time, insulin aspart inhibits the liver's conversion of stored glycogen into glucose, which also contributes to lower blood glucose levels. Insulin aspart also inhibits lipolysis in adipose tissue, inhibits proteolysis, and enhances protein synthesis. (NCI05)",NCI,T116,"Amino Acid, Peptide, or Protein"
394,C0126174,Losartan,SNOMEDCT_US,"A non-peptide angiotensin II antagonist with antihypertensive activity. Upon administration, losartan and its active metabolite selectively and competitively blocks the binding of angiotensin II to the angiotensin I (AT1) receptor. This blocks the vasoconstricting and aldosterone-secreting actions of angiotensin II, leading to a decrease in blood pressure. Angiotensin II, formed from angiotensin I by angiotensin-converting enzyme (ACE), stimulates the adrenal cortex to synthesize and secrete aldosterone, which decreases the excretion of sodium and increases the excretion of potassium. Angiotensin II also acts as a vasoconstrictor in vascular smooth muscle.",NCI,T109,Organic Chemical
395,C0126774,Magnesium citrate,SNOMEDCT_US,"The citrate salt of the element magnesium with cathartic activity. The cathartic action of magnesium cations appears to result, in part, from osmotically mediated water retention, which subsequently stimulates peristalsis. In addition, magnesium ions may also stimulate the activity of nitric oxide (NO) synthase and increase the biosynthesis of the phospholipid proinflammatory mediator platelet activating factor (PAF) in the gut. NO may stimulate intestinal secretion via prostaglandin- and cyclic GMP-dependent mechanisms while PAF produces significant stimulation of colonic secretion and gastrointestinal motility.",NCI,T109,Organic Chemical
396,C0132512,Nilvadipine,SNOMEDCT_US,,,T109,Organic Chemical
